,asset,mean_spread
0,AAPL,0.900968307571292
1,ABBV,2.4788099641555577
2,ABNB,5.605035616336774
3,ABT,3.614350191667594
4,ACN,5.315245640779346
5,ADBE,6.0197220267696885
6,ADI,4.109262334819629
7,ADP,5.39325055024832
8,AFL,3.5216865269041144
9,AIG,3.4360225965132174
10,ALL,6.622005401220937
11,AMAT,2.8089845471039054
12,AMD,1.7321501277804447
13,AMT,7.892361621577281
14,AMZN,1.445338341087022
15,ANET,8.497413648362249
16,ASML,7.128914837044552
17,AVGO,5.8602138358364115
18,AXP,4.514590109441747
19,AZN,1.621679552202269
20,BABA,2.1061887631700933
21,BAC,4.2054810571256
22,BA,5.20748544512994
23,BBVA,15.839042327137095
24,BDX,7.7423761028833775
25,BHP,2.537239634839723
26,BKNG,10.91918419222601
27,BLK,12.604742842307516
28,BMY,2.029434158858029
29,BNS,2.8165206940614724
30,BP,3.0157562077448663
31,BSX,2.464679538785077
32,BTI,3.1151076596351985
33,BUD,2.1357357701052564
34,BX,5.478947741867483
35,CARR,3.588302933650234
36,CCI,6.630648935559844
37,CDNS,4.878539797352328
38,CL,2.023371572921346
39,CMCSA,3.142679182100761
40,COF,6.561671821139065
41,COP,3.7937817158958564
42,COST,5.724429867389048
43,CP,4.796013172294961
44,CRH,8.159099052032056
45,CRM,2.8131676503379337
46,CSCO,2.251858185703193
47,CSX,3.91096055535645
48,CVS,1.9087306513911773
49,CVX,2.6531657496294594
50,C,2.6193668889858497
51,DASH,7.476621673213761
52,DEO,5.8425668766384
53,DE,8.01729958810003
54,DHI,4.498601480052515
55,DIS,2.4129004918717687
56,DUK,2.8561135896440395
57,EL,10.088312130055348
58,EMR,3.3955524545528752
59,ENB,3.135890387448364
60,EOG,3.796769609358448
61,EPD,4.7325402817010795
62,EQNR,4.02883911644788
63,ETN,6.758787123104028
64,ET,9.32451626019769
65,EW,3.4998968429537554
66,FCX,3.0901083328033008
67,FTNT,4.271305765246732
68,GD,7.544853010097708
69,GE,3.5277138355352062
70,GILD,2.3356698907279427
71,GM,3.3462793148925476
72,GOOGL,1.1944578092997218
73,GSK,3.1380994430754128
74,GWW,14.212973112579084
75,HCA,8.500098772200609
76,HDB,5.61175388419785
77,HD,3.9118043091894577
78,HLT,6.911014001587084
79,HMC,4.862301452835842
80,HON,3.174836056180701
81,HSBC,3.2145493580362037
82,HUM,7.2439618638290995
83,IBM,2.994303171756205
84,IBN,5.467699047955113
85,ICE,3.754516301356456
86,INFY,6.67738609067231
87,ING,9.011929771743507
88,INTC,3.9711441237574068
89,ISRG,7.476475236894153
90,ITW,8.362906632999355
91,JNJ,2.1471870387278646
92,JPM,1.596709150727511
93,KHC,2.91756345080853
94,KKR,4.949390539270071
95,KLAC,9.980760788725144
96,KO,1.872075692238059
97,LIN,7.358163812749233
98,LLY,5.2762816108550465
99,LMT,5.793806407768209
100,LOW,5.011738314524066
101,LRCX,10.150070024461057
102,LULU,8.169478531215248
103,MAR,5.051037883241414
104,MA,5.827788175111711
105,MCD,3.96608212974804
106,MCHP,2.4269796574105253
107,MCO,10.685068156011484
108,MDLZ,1.7238961150625511
109,MDT,2.1778317989160745
110,MELI,18.19830792923699
111,META,2.0189667506523645
112,MET,3.1156194350797866
113,MMM,4.606249600249259
114,MNST,3.390857871729107
115,MO,2.5681956442581018
116,MPC,5.724171628135364
117,MRK,2.2267914804327362
118,MRVL,3.365835182570061
119,MSCI,17.474814698884696
120,MSFT,0.8116910059083694
121,MS,2.857273318332143
122,MU,2.2320155950434772
123,NEE,2.4688432027784915
124,NFLX,5.6459537945768234
125,NGG,8.374550720693716
126,NKE,3.059198127762858
127,NOW,10.935428176651396
128,NSC,7.832793165236489
129,NTES,6.485594941428939
130,NUE,8.474784755238856
131,NVDA,1.9456692901995447
132,NVO,3.7861443397777976
133,NVS,1.5251427327031208
134,NXPI,7.770080082953834
135,ORCL,2.439311441199861
136,ORLY,9.247532337588733
137,OXY,2.6854380431170872
138,PANW,4.646608572439683
139,PAYX,4.718156008547745
140,PBR,10.872807181811378
141,PCAR,3.156844639092961
142,PEP,1.5985555332831654
143,PFE,2.8023883632525153
144,PGR,5.454311728929715
145,PG,1.855678038492661
146,PLD,4.3664792163646045
147,PM,2.924060540501385
148,PNC,7.539019326338472
149,PSA,11.150412494839161
150,PSX,3.604236467781897
151,PXD,9.153916779844309
152,PYPL,2.131311649664372
153,QCOM,2.5682893133198115
154,RACE,12.208262060531885
155,REGN,10.423450501801948
156,RELX,3.6893474725147835
157,RIO,2.0471778635599516
158,ROST,4.154169137035206
159,RY,5.450404927694594
160,SAN,29.239331511154774
161,SAP,5.024017418960803
162,SBUX,1.7046489325835086
163,SCHW,4.172407784957914
164,SHEL,1.9950556657022969
165,SHOP,3.310738004548784
166,SHW,8.749379194565051
167,SLB,2.9629612873273397
168,SNOW,9.665345265730437
169,SNPS,8.771410267617423
170,SNY,4.008309475032784
171,SO,2.485526173530416
172,SPG,7.2304146611952795
173,SPOT,9.627935392194228
174,STLA,6.31134894697762
175,SYK,8.137666401376936
176,TD,2.3126044215537798
177,TEAM,13.284351077778616
178,TFC,4.078174175193454
179,TGT,5.185768632867326
180,TMUS,1.896754856761651
181,TRI,9.038799456538086
182,TSLA,1.469627247944243
183,TSM,1.840585641418237
184,TTE,4.5572372104752805
185,TXN,2.69086623359447
186,T,5.974037557741427
187,UBER,3.7157338280951935
188,UBS,5.707225352446256
189,UL,2.209778172986421
190,UNH,5.207405025861286
191,USB,3.3937576566695857
192,VALE,6.990155634244633
193,VLO,5.8842807153265815
194,VRTX,7.375105575445455
195,VZ,3.06955511223913
196,WELL,5.8845485384750615
197,WFC,3.046809616403155
198,WM,5.259592724088557
199,ZTS,5.617445248504699
