,asset,number_of_trades
0,AAPL,10353600
1,ABBV,1015494
2,ABNB,1612771
3,ABT,820919
4,ACN,565288
5,ADBE,1269243
6,ADI,1942558
7,ADP,493634
8,AFL,845157
9,AIG,1108882
10,ALL,496230
11,AMAT,2695679
12,AMD,9544934
13,AMT,474167
14,AMZN,8838636
15,ANET,355075
16,ASML,753389
17,AVGO,507508
18,AXP,1112315
19,AZN,2168769
20,BABA,3182327
21,BAC,2590146
22,BA,710811
23,BBVA,256195
24,BDX,198354
25,BHP,1293187
26,BKNG,230555
27,BLK,164342
28,BMY,1548509
29,BNS,1395637
30,BP,2372126
31,BSX,1061562
32,BTI,731983
33,BUD,973275
34,BX,1023236
35,CARR,825556
36,CCI,630240
37,CDNS,1367228
38,CL,1342975
39,CMCSA,1765906
40,COF,713842
41,COP,1418711
42,COST,462764
43,CP,905163
44,CRH,518922
45,CRM,2626023
46,CSCO,2122901
47,CSX,1565650
48,CVS,1852894
49,CVX,1437048
50,C,2418112
51,DASH,1041161
52,DEO,397543
53,DE,271058
54,DHI,1076954
55,DIS,1854182
56,DUK,989435
57,EL,183346
58,EMR,969977
59,ENB,1420026
60,EOG,1471207
61,EPD,379006
62,EQNR,1526273
63,ETN,379358
64,ET,403241
65,EW,819099
66,FCX,2011649
67,FTNT,1310682
68,GD,194732
69,GE,1152075
70,GILD,1032119
71,GM,2009543
72,GOOGL,12170248
73,GSK,656780
74,GWW,314615
75,HCA,184475
76,HDB,270262
77,HD,1429626
78,HLT,470834
79,HMC,235954
80,HON,1458027
81,HSBC,1298929
82,HUM,530307
83,IBM,955937
84,IBN,319486
85,ICE,1065503
86,INFY,420598
87,ING,657874
88,INTC,2857592
89,ISRG,520433
90,ITW,933587
91,JNJ,1396050
92,JPM,3138676
93,KHC,1057012
94,KKR,640283
95,KLAC,440798
96,KO,1634758
97,LIN,261917
98,LLY,256022
99,LMT,212672
100,LOW,498654
101,LRCX,590882
102,LULU,498132
103,MAR,1203325
104,MA,615293
105,MCD,458476
106,MCHP,2731368
107,MCO,192965
108,MDLZ,1381261
109,MDT,1335950
110,MELI,363789
111,META,6066619
112,MET,1234712
113,MMM,616910
114,MNST,947070
115,MO,1303220
116,MPC,1106708
117,MRK,1237665
118,MRVL,2284664
119,MSCI,154188
120,MSFT,11659465
121,MS,1303194
122,MU,4012646
123,NEE,2086313
124,NFLX,1445238
125,NGG,1030680
126,NKE,1462108
127,NOW,255979
128,NSC,687709
129,NTES,551008
130,NUE,426272
131,NVDA,7244963
132,NVO,701994
133,NVS,1383617
134,NXPI,965317
135,ORCL,1470660
136,ORLY,272576
137,OXY,2898003
138,PANW,913288
139,PAYX,1000186
140,PBR,948161
141,PCAR,1717035
142,PEP,2129432
143,PFE,1465018
144,PGR,438569
145,PG,1429307
146,PLD,1410252
147,PM,715680
148,PNC,589837
149,PSA,235448
150,PSX,1600059
151,PXD,452080
152,PYPL,4347860
153,QCOM,3003195
154,RACE,145523
155,REGN,288506
156,RELX,380398
157,RIO,2166273
158,ROST,895045
159,RY,927377
160,SAN,155188
161,SAP,767838
162,SBUX,2209808
163,SCHW,2040325
164,SHEL,1949231
165,SHOP,4302289
166,SHW,249041
167,SLB,2745340
168,SNOW,545648
169,SNPS,620345
170,SNY,491269
171,SO,1407414
172,SPG,391068
173,SPOT,737340
174,STLA,580588
175,SYK,219222
176,TD,1455874
177,TEAM,434145
178,TFC,2250084
179,TGT,527880
180,TMUS,1349478
181,TRI,528630
182,TSLA,12504864
183,TSM,2716271
184,TTE,939739
185,TXN,1819024
186,T,721943
187,UBER,1900732
188,UBS,938820
189,UL,907788
190,UNH,421726
191,USB,1811343
192,VALE,1204073
193,VLO,1126705
194,VRTX,242122
195,VZ,1202248
196,WELL,767551
197,WFC,2589667
198,WM,290778
199,ZTS,455950
